stop_code,stop_name,stop_lat,stop_lon
9100,Wright at Madison College,43.121241,-89.33054
9101,Wright at Madison College,43.121026,-89.330256
9116,Melody at Independence,43.130707,-89.31024
9137,N Thompson at Mesta,43.109528,-89.296664
0914,W Gorham at Wisconsin,43.077372,-89.388191
9143,Portage at Derek,43.134409,-89.315498
9146,Melody at Portage,43.130908,-89.31538
0915,Fish Hatchery at Midland,43.054527,-89.398878
F952,E Washington at Portage,43.123226,-89.315478
9153,Hayes at Dawn,43.140977,-89.300548
9164,O'Keeffe at Linnerud,43.173927,-89.245178
9169,Airport at Terminal Door 6,43.137305,-89.346446
9171,Wright at Straubel,43.117301,-89.330422
9173,E Springs at High Crossing,43.131842,-89.29839
9175,N Stoughton E at Orin,43.122866,-89.324571
9176,Commercial at Redland,43.106779,-89.305228
9177,O'Keeffe at New Town,43.163113,-89.261016
F981,N Thompson at Kurt,43.10203,-89.292281
9182,N Stoughton E at Orin,43.123063,-89.32488
9204,N Thompson at Lien,43.120606,-89.298892
9219,O'Keeffe at Summerfield,43.169044,-89.249752
F925,E Washington at Schmedeman,43.115141,-89.326941
F934,N Thompson at Kurt,43.102101,-89.291836
9237,N Stoughton E at N Stoughton,43.121281,-89.324166
9243,N Thompson at Commercial,43.106864,-89.300461
9273,High Crossing at City View,43.13879,-89.288961
9274,Shopko at Pick N Save,43.112872,-89.348004
9276,N Thompson at Westwynn,43.118349,-89.297932
9285,Anniversary at Hayes,43.13564,-89.300199
9291,N Thompson at Wayridge,43.118993,-89.297622
9300,Eastpark at U W Health,43.153791,-89.301341
9306,N Stoughton E at N Stoughton,43.12147,-89.324647
F917,Walbridge at Milwaukee,43.09948,-89.313021
9322,E Washington at Wright,43.112942,-89.331095
F923,N Thompson at Meadows,43.102419,-89.295985
9338,Hayes at Forest Run,43.13813,-89.300343
9339,E Washington at Rethke,43.109247,-89.335385
9356,O'Keeffe at Brown Bear,43.165139,-89.255992
F961,Commercial S at N Fair Oaks,43.106146,-89.330795
9363,W Main at Thompson,43.176224,-89.255038
9364,Wright at Kinsman,43.125413,-89.330324
9370,N Thompson at Sycamore,43.11362,-89.296274
